Cidade,Sim,Não,Total,Doenças
RIO PARDO DE MINAS,3,56,59,acid_vas_cerebral
RIO PIRACICABA,-,12,12,acid_vas_cerebral
RIO POMBA,2,88,90,acid_vas_cerebral
RIO PRETO,-,1,1,acid_vas_cerebral
RIO VERMELHO,-,2,2,acid_vas_cerebral
RITAPOLIS,-,11,11,acid_vas_cerebral
RODEIRO,-,2,2,acid_vas_cerebral
ROMARIA,-,11,11,acid_vas_cerebral
SABARA,8,178,186,acid_vas_cerebral
SABINOPOLIS,-,20,20,acid_vas_cerebral
SACRAMENTO,3,66,69,acid_vas_cerebral
SALINAS,-,27,27,acid_vas_cerebral
SALTO DA DIVISA,-,7,7,acid_vas_cerebral
SANTA BARBARA,-,71,71,acid_vas_cerebral
SANTA BARBARA DO LESTE,-,13,13,acid_vas_cerebral
SANTA BARBARA DO MONTE VERDE,-,2,2,acid_vas_cerebral
SANTA BARBARA DO TUGURIO,-,6,6,acid_vas_cerebral
SANTA CRUZ DE MINAS,-,8,8,acid_vas_cerebral
SANTA CRUZ DO ESCALVADO,1,3,4,acid_vas_cerebral
SANTA JULIANA,1,25,26,acid_vas_cerebral
SANTA LUZIA,5,60,65,acid_vas_cerebral
SANTA MARGARIDA,1,51,52,acid_vas_cerebral
SANTA MARIA DE ITABIRA,-,11,11,acid_vas_cerebral
SANTA MARIA DO SALTO,-,2,2,acid_vas_cerebral
SANTA MARIA DO SUACUI,-,7,7,acid_vas_cerebral
SANTANA DE PIRAPAMA,1,3,4,acid_vas_cerebral
SANTANA DO GARAMBEU,-,3,3,acid_vas_cerebral
SANTANA DO JACARE,-,17,17,acid_vas_cerebral
SANTANA DO PARAISO,3,76,79,acid_vas_cerebral
SANTANA DOS MONTES,-,11,11,acid_vas_cerebral
SANTA RITA DE CALDAS,-,45,45,acid_vas_cerebral
SANTA RITA DE JACUTINGA,-,10,10,acid_vas_cerebral
SANTA RITA DE MINAS,-,6,6,acid_vas_cerebral
SANTA RITA DE IBITIPOCA,-,7,7,acid_vas_cerebral
SANTA RITA DO SAPUCAI,3,193,196,acid_vas_cerebral
SANTA ROSA DA SERRA,-,19,19,acid_vas_cerebral
SANTA VITORIA,1,118,119,acid_vas_cerebral
SANTO ANTONIO DO AMPARO,1,12,13,acid_vas_cerebral
SANTO ANTONIO DO AVENTUREIRO,1,7,8,acid_vas_cerebral
SANTO ANTONIO DO GRAMA,-,18,18,acid_vas_cerebral
SANTO ANTONIO DO ITAMBE,-,21,21,acid_vas_cerebral
SANTO ANTONIO DO JACINTO,-,3,3,acid_vas_cerebral
SANTO ANTONIO DO MONTE,-,41,41,acid_vas_cerebral
SANTO ANTONIO DO RETIRO,-,2,2,acid_vas_cerebral
SANTO ANTONIO DO RIO ABAIXO,-,2,2,acid_vas_cerebral
SANTO HIPOLITO,-,1,1,acid_vas_cerebral
SANTOS DUMONT,-,11,11,acid_vas_cerebral
SAO BENTO ABADE,-,11,11,acid_vas_cerebral
SAO BRAS DO SUACUI,-,26,26,acid_vas_cerebral
SAO DOMINGOS DAS DORES,3,9,12,acid_vas_cerebral
SAO DOMINGOS DO PRATA,2,37,39,acid_vas_cerebral
SAO FELIX DE MINAS,-,8,8,acid_vas_cerebral
SAO FRANCISCO,-,13,13,acid_vas_cerebral
SAO FRANCISCO DE SALES,-,20,20,acid_vas_cerebral
SAO GERALDO,-,14,14,acid_vas_cerebral
SAO GERALDO DO BAIXIO,-,4,4,acid_vas_cerebral
SAO GONCALO DO ABAETE,-,8,8,acid_vas_cerebral
SAO GONCALO DO RIO ABAIXO,1,14,15,acid_vas_cerebral
SAO GONCALO DO SAPUCAI,2,93,95,acid_vas_cerebral
SAO GOTARDO,3,74,77,acid_vas_cerebral
SAO JOAO BATISTA DO GLORIA,1,49,50,acid_vas_cerebral
SAO JOAO DA MATA,-,8,8,acid_vas_cerebral
SAO JOAO DA PONTE,-,35,35,acid_vas_cerebral
SAO JOAO DEL REI,6,164,170,acid_vas_cerebral
SAO JOAO DO MANHUACU,-,15,15,acid_vas_cerebral
SAO JOAO DO ORIENTE,-,35,35,acid_vas_cerebral
SAO JOAO DO PARAISO,1,9,10,acid_vas_cerebral
SAO JOAO NEPOMUCENO,3,72,75,acid_vas_cerebral
SAO JOAQUIM DE BICAS,1,43,44,acid_vas_cerebral
SAO JOSE DA BARRA,1,22,23,acid_vas_cerebral
SAO JOSE DA LAPA,-,13,13,acid_vas_cerebral
SAO JOSE DA SAFIRA,-,19,19,acid_vas_cerebral
SAO JOSE DA VARGINHA,-,15,15,acid_vas_cerebral
SAO JOSE DO ALEGRE,-,6,6,acid_vas_cerebral
SAO JOSE DO DIVINO,-,17,17,acid_vas_cerebral
SAO JOSE DO GOIABAL,1,8,9,acid_vas_cerebral
SAO JOSE DO JACURI,-,1,1,acid_vas_cerebral
SAO LOURENCO,6,226,232,acid_vas_cerebral
SAO MIGUEL DO ANTA,-,19,19,acid_vas_cerebral
SAO PEDRO DA UNIAO,-,16,16,acid_vas_cerebral
SAO PEDRO DOS FERROS,3,26,29,acid_vas_cerebral
SAO PEDRO DO SUACUI,-,5,5,acid_vas_cerebral
SAO SEBASTIAO DA BELA VISTA,-,17,17,acid_vas_cerebral
SAO SEBASTIAO DA VARGEM ALEGRE,-,7,7,acid_vas_cerebral
SAO SEBASTIAO DO ANTA,-,1,1,acid_vas_cerebral
SAO SEBASTIAO DO OESTE,-,5,5,acid_vas_cerebral
SAO SEBASTIAO DO PARAISO,8,392,400,acid_vas_cerebral
SAO SEBASTIAO DO RIO VERDE,-,9,9,acid_vas_cerebral
SAO TIAGO,1,79,80,acid_vas_cerebral
SAO TOMAS DE AQUINO,-,15,15,acid_vas_cerebral
SAO THOME DAS LETRAS,-,2,2,acid_vas_cerebral
SAO VICENTE DE MINAS,-,10,10,acid_vas_cerebral
SAPUCAI-MIRIM,1,49,50,acid_vas_cerebral
SARDOA,-,17,17,acid_vas_cerebral
SARZEDO,5,64,69,acid_vas_cerebral
SENADOR AMARAL,-,39,39,acid_vas_cerebral
SENADOR FIRMINO,-,1,1,acid_vas_cerebral
SENADOR JOSE BENTO,-,13,13,acid_vas_cerebral
SENADOR MODESTINO GONCALVES,-,10,10,acid_vas_cerebral
SENHORA DE OLIVEIRA,-,9,9,acid_vas_cerebral
SENHORA DO PORTO,-,8,8,acid_vas_cerebral
SENHORA DOS REMEDIOS,-,28,28,acid_vas_cerebral
SERITINGA,-,7,7,acid_vas_cerebral
SERRA AZUL DE MINAS,-,5,5,acid_vas_cerebral
SERRA DA SAUDADE,-,4,4,acid_vas_cerebral
SERRA DOS AIMORES,1,4,5,acid_vas_cerebral
SERRA DO SALITRE,-,10,10,acid_vas_cerebral
SERRANIA,1,44,45,acid_vas_cerebral
SERRANOS,-,1,1,acid_vas_cerebral
SERRO,-,24,24,acid_vas_cerebral
SILVEIRANIA,-,2,2,acid_vas_cerebral
SILVIANOPOLIS,-,19,19,acid_vas_cerebral
SOBRALIA,-,1,1,acid_vas_cerebral
SOLEDADE DE MINAS,-,30,30,acid_vas_cerebral
TABULEIRO,-,5,5,acid_vas_cerebral
TAPIRAI,-,11,11,acid_vas_cerebral
TAQUARACU DE MINAS,-,1,1,acid_vas_cerebral
TEIXEIRAS,1,19,20,acid_vas_cerebral
TEOFILO OTONI,3,110,113,acid_vas_cerebral
TIMOTEO,-,1,1,acid_vas_cerebral
TIRADENTES,-,23,23,acid_vas_cerebral
TIROS,-,5,5,acid_vas_cerebral
TOCANTINS,-,20,20,acid_vas_cerebral
TOCOS DO MOJI,1,15,16,acid_vas_cerebral
TOLEDO,2,21,23,acid_vas_cerebral
TOMBOS,-,15,15,acid_vas_cerebral
TRES CORACOES,-,21,21,acid_vas_cerebral
TRES PONTAS,2,268,270,acid_vas_cerebral
TURMALINA,2,22,24,acid_vas_cerebral
TURVOLANDIA,-,28,28,acid_vas_cerebral
UBA,3,218,221,acid_vas_cerebral
UBAI,-,4,4,acid_vas_cerebral
UBAPORANGA,-,11,11,acid_vas_cerebral
UBERABA,37,1861,1898,acid_vas_cerebral
UBERLANDIA,19,1128,1147,acid_vas_cerebral
UMBURATIBA,1,5,6,acid_vas_cerebral
UNAI,2,213,215,acid_vas_cerebral
UNIAO DE MINAS,-,9,9,acid_vas_cerebral
URUANA DE MINAS,-,5,5,acid_vas_cerebral
URUCANIA,1,32,33,acid_vas_cerebral
VARGEM ALEGRE,-,18,18,acid_vas_cerebral
VARGEM GRANDE DO RIO PARDO,-,1,1,acid_vas_cerebral
VARGINHA,6,189,195,acid_vas_cerebral
VARJAO DE MINAS,-,10,10,acid_vas_cerebral
VARZEA DA PALMA,-,64,64,acid_vas_cerebral
VARZELANDIA,-,5,5,acid_vas_cerebral
VAZANTE,1,12,13,acid_vas_cerebral
VERDELANDIA,-,5,5,acid_vas_cerebral
VERISSIMO,-,3,3,acid_vas_cerebral
VERMELHO NOVO,3,29,32,acid_vas_cerebral
VESPASIANO,2,129,131,acid_vas_cerebral
VICOSA,6,253,259,acid_vas_cerebral
VIEIRAS,-,3,3,acid_vas_cerebral
VIRGEM DA LAPA,-,5,5,acid_vas_cerebral
VIRGINIA,-,1,1,acid_vas_cerebral
VOLTA GRANDE,-,2,2,acid_vas_cerebral
WENCESLAU BRAZ,-,7,7,acid_vas_cerebral
Total,896,35739,36635,acid_vas_cerebral
ABADIA DOS DOURADOS,-,2,2,tabagismo
ABAETE,37,59,96,tabagismo
ACAIACA,-,5,5,tabagismo
ACUCENA,3,21,24,tabagismo
AGUA BOA,1,-,1,tabagismo
AGUA COMPRIDA,5,11,16,tabagismo
AGUANIL,-,1,1,tabagismo
AGUAS FORMOSAS,1,10,11,tabagismo
AGUAS VERMELHAS,-,1,1,tabagismo
AIMORES,7,26,33,tabagismo
AIURUOCA,2,14,16,tabagismo
ALAGOA,3,5,8,tabagismo
ALBERTINA,3,5,8,tabagismo
ALEM PARAIBA,31,187,218,tabagismo
ALFENAS,25,112,137,tabagismo
ALFREDO VASCONCELOS,2,9,11,tabagismo
ALPERCATA,-,9,9,tabagismo
ALPINOPOLIS,11,47,58,tabagismo
ALTEROSA,13,48,61,tabagismo
ALTO CAPARAO,-,1,1,tabagismo
ALTO RIO DOCE,10,29,39,tabagismo
ALVORADA DE MINAS,-,2,2,tabagismo
AMPARO DO SERRA,-,4,4,tabagismo
ANDRADAS,105,359,464,tabagismo
CACHOEIRA DE PAJEU,-,4,4,tabagismo
ANDRELANDIA,7,36,43,tabagismo
ANGELANDIA,4,8,12,tabagismo
ANTONIO CARLOS,12,40,52,tabagismo
ANTONIO DIAS,-,2,2,tabagismo
ANTONIO PRADO DE MINAS,1,4,5,tabagismo
ARACAI,1,6,7,tabagismo
ARACITABA,-,1,1,tabagismo
ARACUAI,3,40,43,tabagismo
ARAGUARI,69,268,337,tabagismo
ARANTINA,-,1,1,tabagismo
ARAPONGA,4,8,12,tabagismo
ARAPORA,13,32,45,tabagismo
ARAPUA,1,4,5,tabagismo
ARAUJOS,1,10,11,tabagismo
ARAXA,60,193,253,tabagismo
ARCEBURGO,2,6,8,tabagismo
ARCOS,30,88,118,tabagismo
AREADO,6,18,24,tabagismo
ARGIRITA,3,15,18,tabagismo
ARICANDUVA,1,4,5,tabagismo
ARINOS,9,9,18,tabagismo
ASTOLFO DUTRA,14,28,42,tabagismo
AUGUSTO DE LIMA,3,14,17,tabagismo
BAEPENDI,19,75,94,tabagismo
BALDIM,1,4,5,tabagismo
BAMBUI,3,10,13,tabagismo
BANDEIRA,1,2,3,tabagismo
BARAO DE COCAIS,-,28,28,tabagismo
BARAO DE MONTE ALTO,3,22,25,tabagismo
BARBACENA,27,102,129,tabagismo
BARRA LONGA,-,1,1,tabagismo
BARROSO,18,57,75,tabagismo
BELA VISTA DE MINAS,2,4,6,tabagismo
BELO HORIZONTE,112,560,672,tabagismo
BELO ORIENTE,9,60,69,tabagismo
BELO VALE,-,4,4,tabagismo
BERILO,-,3,3,tabagismo
BERTOPOLIS,1,1,2,tabagismo
BETIM,157,625,782,tabagismo
BIAS FORTES,6,15,21,tabagismo
BICAS,10,51,61,tabagismo
BOA ESPERANCA,99,296,395,tabagismo
BOCAIUVA,16,56,72,tabagismo
BOM DESPACHO,33,145,178,tabagismo
BOM JESUS DA PENHA,6,13,19,tabagismo
BOM JESUS DO AMPARO,-,3,3,tabagismo
BOM JESUS DO GALHO,4,1,5,tabagismo
BOM REPOUSO,1,12,13,tabagismo
BOM SUCESSO,21,67,88,tabagismo
BONFIM,4,23,27,tabagismo
BONFINOPOLIS DE MINAS,-,7,7,tabagismo
BONITO DE MINAS,-,3,3,tabagismo
BORDA DA MATA,27,99,126,tabagismo
BOTELHOS,-,6,6,tabagismo
BRASILANDIA DE MINAS,4,14,18,tabagismo
BRASILIA DE MINAS,8,10,18,tabagismo
BRAS PIRES,1,-,1,tabagismo
BRAUNAS,1,2,3,tabagismo
BRAZOPOLIS,32,67,99,tabagismo
BRUMADINHO,18,94,112,tabagismo
BUENO BRANDAO,7,36,43,tabagismo
BUENOPOLIS,6,13,19,tabagismo
BUGRE,4,14,18,tabagismo
BURITIS,10,31,41,tabagismo
BURITIZEIRO,-,17,17,tabagismo
CABO VERDE,6,18,24,tabagismo
CACHOEIRA DA PRATA,7,25,32,tabagismo
CACHOEIRA DE MINAS,3,32,35,tabagismo
CACHOEIRA DOURADA,4,6,10,tabagismo
CAETANOPOLIS,2,9,11,tabagismo
CAETE,15,53,68,tabagismo
CAIANA,-,4,4,tabagismo
CAJURI,3,9,12,tabagismo
CALDAS,14,51,65,tabagismo
CAMACHO,1,8,9,tabagismo
CAMANDUCAIA,25,75,100,tabagismo
CAMBUI,17,37,54,tabagismo
CAMBUQUIRA,1,6,7,tabagismo
CAMPANHA,21,55,76,tabagismo
CAMPINA VERDE,6,15,21,tabagismo
CAMPO BELO,54,182,236,tabagismo
CAMPO FLORIDO,11,39,50,tabagismo
CAMPOS ALTOS,12,25,37,tabagismo
CAMPOS GERAIS,1,10,11,tabagismo
CANAA,4,8,12,tabagismo
CANAPOLIS,13,28,41,tabagismo
CANA VERDE,2,3,5,tabagismo
CANDEIAS,16,60,76,tabagismo
CANTAGALO,-,3,3,tabagismo
CAPARAO,-,6,6,tabagismo
CAPELA NOVA,3,8,11,tabagismo
CAPELINHA,5,7,12,tabagismo
CAPETINGA,1,14,15,tabagismo
CAPIM BRANCO,1,12,13,tabagismo
CAPINOPOLIS,8,51,59,tabagismo
CAPITAO ANDRADE,1,2,3,tabagismo
CAPITAO ENEAS,-,4,4,tabagismo
CAPITOLIO,2,11,13,tabagismo
CAPUTIRA,1,10,11,tabagismo
CARAI,-,3,3,tabagismo
CARANAIBA,1,3,4,tabagismo
CARANDAI,5,12,17,tabagismo
CARANGOLA,13,38,51,tabagismo
CARATINGA,61,271,332,tabagismo
CARBONITA,3,11,14,tabagismo
CAREACU,2,10,12,tabagismo
CARLOS CHAGAS,8,40,48,tabagismo
CARMESIA,3,20,23,tabagismo
CARMO DA CACHOEIRA,1,6,7,tabagismo
CARMO DA MATA,1,1,2,tabagismo
CARMO DE MINAS,7,16,23,tabagismo
CARMO DO CAJURU,16,41,57,tabagismo
CARMO DO PARANAIBA,31,81,112,tabagismo
CARMOPOLIS DE MINAS,15,56,71,tabagismo
CARNEIRINHO,14,31,45,tabagismo
CARRANCAS,-,5,5,tabagismo
CARVALHOS,1,7,8,tabagismo
CASCALHO RICO,-,2,2,tabagismo
CASSIA,19,64,83,tabagismo
CONCEICAO DA BARRA DE MINAS,6,9,15,tabagismo
CATAGUASES,74,307,381,tabagismo
CATAS ALTAS,1,9,10,tabagismo
CATAS ALTAS DA NORUEGA,-,5,5,tabagismo
CATUJI,1,3,4,tabagismo
CAXAMBU,4,10,14,tabagismo
CEDRO DO ABAETE,-,4,4,tabagismo
CENTRAL DE MINAS,1,10,11,tabagismo
CENTRALINA,7,37,44,tabagismo
CHACARA,1,6,7,tabagismo
CHALE,5,7,12,tabagismo
CHAPADA DO NORTE,-,1,1,tabagismo
CIPOTANEA,-,11,11,tabagismo
CLARAVAL,3,10,13,tabagismo
CLAUDIO,14,56,70,tabagismo
COIMBRA,1,21,22,tabagismo
COLUNA,2,16,18,tabagismo
COMENDADOR GOMES,4,7,11,tabagismo
COMERCINHO,-,1,1,tabagismo
CONCEICAO DA APARECIDA,6,27,33,tabagismo
CONCEICAO DAS PEDRAS,-,2,2,tabagismo
CONCEICAO DAS ALAGOAS,16,53,69,tabagismo
CONCEICAO DO PARA,2,13,15,tabagismo
CONCEICAO DOS OUROS,2,33,35,tabagismo
CONEGO MARINHO,3,16,19,tabagismo
CONFINS,2,7,9,tabagismo
CONGONHAL,4,17,21,tabagismo
CONQUISTA,12,25,37,tabagismo
CONSELHEIRO LAFAIETE,65,279,344,tabagismo
CONSELHEIRO PENA,16,45,61,tabagismo
CONSOLACAO,9,21,30,tabagismo
CONTAGEM,108,444,552,tabagismo
COQUEIRAL,3,19,22,tabagismo
CORDISBURGO,1,15,16,tabagismo
CORDISLANDIA,2,8,10,tabagismo
COROACI,1,5,6,tabagismo
COROMANDEL,28,59,87,tabagismo
CORONEL FABRICIANO,57,268,325,tabagismo
CORONEL MURTA,1,5,6,tabagismo
CORONEL PACHECO,1,6,7,tabagismo
CORREGO DO BOM JESUS,1,5,6,tabagismo
CORREGO FUNDO,7,62,69,tabagismo
COUTO DE MAGALHAES DE MINAS,1,1,2,tabagismo
CRISTAIS,3,16,19,tabagismo
CRISTIANO OTONI,1,6,7,tabagismo
CRISTINA,38,123,161,tabagismo
CRUCILANDIA,1,2,3,tabagismo
CRUZEIRO DA FORTALEZA,4,27,31,tabagismo
CRUZILIA,6,28,34,tabagismo
CURVELO,67,285,352,tabagismo
DATAS,-,7,7,tabagismo
DELFIM MOREIRA,10,37,47,tabagismo
DELFINOPOLIS,-,4,4,tabagismo
DELTA,10,21,31,tabagismo
DESCOBERTO,-,3,3,tabagismo
DESTERRO DE ENTRE RIOS,2,17,19,tabagismo
DESTERRO DO MELO,-,5,5,tabagismo
DIOGO DE VASCONCELOS,-,9,9,tabagismo
DIONISIO,5,42,47,tabagismo
DIVINO,4,11,15,tabagismo
DIVINOLANDIA DE MINAS,-,5,5,tabagismo
DIVINOPOLIS,76,307,383,tabagismo
DIVISA ALEGRE,-,1,1,tabagismo
DIVISA NOVA,3,10,13,tabagismo
DIVISOPOLIS,2,3,5,tabagismo
DOM CAVATI,1,13,14,tabagismo
DOM JOAQUIM,-,2,2,tabagismo
DOM SILVERIO,-,13,13,tabagismo
DONA EUSEBIA,-,10,10,tabagismo
DORES DE CAMPOS,13,49,62,tabagismo
DORES DE GUANHAES,1,9,10,tabagismo
DORES DO INDAIA,7,28,35,tabagismo
DORES DO TURVO,1,2,3,tabagismo
DOURADOQUARA,-,3,3,tabagismo
DURANDE,-,6,6,tabagismo
ELOI MENDES,1,1,2,tabagismo
ENTRE FOLHAS,-,6,6,tabagismo
ENTRE RIOS DE MINAS,7,13,20,tabagismo
ERVALIA,-,11,11,tabagismo
ESMERALDAS,12,44,56,tabagismo
ESPERA FELIZ,8,64,72,tabagismo
ESPINOSA,2,22,24,tabagismo
ESPIRITO SANTO DO DOURADO,3,14,17,tabagismo
ESTIVA,12,28,40,tabagismo
ESTRELA DALVA,-,14,14,tabagismo
ESTRELA DO INDAIA,5,16,21,tabagismo
ESTRELA DO SUL,1,8,9,tabagismo
EUGENOPOLIS,4,17,21,tabagismo
EWBANK DA CAMARA,4,4,8,tabagismo
EXTREMA,51,186,237,tabagismo
FAMA,-,1,1,tabagismo
FARIA LEMOS,-,1,1,tabagismo
FELICIO DOS SANTOS,-,2,2,tabagismo
SAO GONCALO DO RIO PRETO,1,3,4,tabagismo
FELISBURGO,3,-,3,tabagismo
FELIXLANDIA,2,-,2,tabagismo
FERNANDES TOURINHO,-,8,8,tabagismo
FERVEDOURO,2,13,15,tabagismo
FORMIGA,60,215,275,tabagismo
FORTALEZA DE MINAS,12,26,38,tabagismo
FORTUNA DE MINAS,5,7,12,tabagismo
FRANCISCO BADARO,2,12,14,tabagismo
FRANCISCO DUMONT,1,1,2,tabagismo
FRANCISCO SA,4,6,10,tabagismo
FREI INOCENCIO,3,15,18,tabagismo
FREI LAGONEGRO,-,1,1,tabagismo
FRONTEIRA,-,7,7,tabagismo
FRONTEIRA DOS VALES,4,4,8,tabagismo
FRUTA DE LEITE,-,4,4,tabagismo
FRUTAL,23,89,112,tabagismo
FUNILANDIA,-,3,3,tabagismo
GALILEIA,2,11,13,tabagismo
GAMELEIRAS,1,2,3,tabagismo
GOIANA,-,1,1,tabagismo
GONCALVES,8,25,33,tabagismo
GOUVEIA,1,8,9,tabagismo
GOVERNADOR VALADARES,177,805,982,tabagismo
GRAO MOGOL,-,5,5,tabagismo
GRUPIARA,4,12,16,tabagismo
GUANHAES,42,212,254,tabagismo
GUAPE,22,72,94,tabagismo
GUARACIAMA,2,9,11,tabagismo
GUARANESIA,13,62,75,tabagismo
GUARANI,6,18,24,tabagismo
GUARARA,1,2,3,tabagismo
GUARDA-MOR,3,11,14,tabagismo
GUAXUPE,52,170,222,tabagismo
GUIDOVAL,14,22,36,tabagismo
GUIMARANIA,1,6,7,tabagismo
GURINHATA,-,5,5,tabagismo
HELIODORA,5,26,31,tabagismo
IAPU,1,12,13,tabagismo
IBERTIOGA,3,18,21,tabagismo
IBIA,13,23,36,tabagismo
IBIRACI,7,24,31,tabagismo
IBIRITE,51,264,315,tabagismo
IBITIURA DE MINAS,6,32,38,tabagismo
IBITURUNA,1,1,2,tabagismo
IGARAPE,26,70,96,tabagismo
IGARATINGA,11,19,30,tabagismo
IGUATAMA,3,10,13,tabagismo
ILICINEA,5,35,40,tabagismo
IMBE DE MINAS,-,5,5,tabagismo
INCONFIDENTES,5,20,25,tabagismo
INDAIABIRA,1,14,15,tabagismo
INDIANOPOLIS,2,4,6,tabagismo
INHAPIM,17,81,98,tabagismo
INIMUTABA,2,11,13,tabagismo
IPABA,4,27,31,tabagismo
IPANEMA,7,34,41,tabagismo
IPATINGA,82,651,733,tabagismo
IPUIUNA,20,70,90,tabagismo
ITABIRA,54,170,224,tabagismo
ITABIRINHA,1,5,6,tabagismo
ITABIRITO,2,4,6,tabagismo
ITACARAMBI,4,15,19,tabagismo
ITAGUARA,6,17,23,tabagismo
ITAIPE,-,4,4,tabagismo
ITAJUBA,190,630,820,tabagismo
ITAMARANDIBA,6,25,31,tabagismo
ITAMARATI DE MINAS,7,49,56,tabagismo
ITAMBACURI,2,18,20,tabagismo
ITAMBE DO MATO DENTRO,-,1,1,tabagismo
ITAMOGI,12,45,57,tabagismo
ITAMONTE,3,15,18,tabagismo
ITANHANDU,20,74,94,tabagismo
ITANHOMI,7,25,32,tabagismo
ITAOBIM,4,16,20,tabagismo
ITAPAGIPE,20,40,60,tabagismo
ITAPECERICA,2,15,17,tabagismo
ITAPEVA,7,20,27,tabagismo
ITATIAIUCU,6,20,26,tabagismo
ITAU DE MINAS,32,111,143,tabagismo
ITAUNA,24,141,165,tabagismo
ITUETA,2,4,6,tabagismo
ITUIUTABA,34,176,210,tabagismo
ITUMIRIM,2,-,2,tabagismo
ITURAMA,24,89,113,tabagismo
ITUTINGA,5,13,18,tabagismo
JABOTICATUBAS,1,25,26,tabagismo
JACINTO,1,5,6,tabagismo
JACUI,27,102,129,tabagismo
JACUTINGA,18,73,91,tabagismo
JAGUARACU,1,4,5,tabagismo
JAIBA,2,6,8,tabagismo
JAMPRUCA,-,6,6,tabagismo
JANAUBA,2,30,32,tabagismo
JANUARIA,7,105,112,tabagismo
JAPARAIBA,3,2,5,tabagismo
JAPONVAR,-,1,1,tabagismo
JENIPAPO DE MINAS,1,8,9,tabagismo
JEQUERI,4,28,32,tabagismo
JEQUITAI,1,3,4,tabagismo
JEQUITINHONHA,1,1,2,tabagismo
JESUANIA,-,1,1,tabagismo
JOAIMA,5,16,21,tabagismo
JOANESIA,2,8,10,tabagismo
JOAO MONLEVADE,14,73,87,tabagismo
JOAO PINHEIRO,9,46,55,tabagismo
JORDANIA,-,1,1,tabagismo
JOSE GONCALVES DE MINAS,-,6,6,tabagismo
JOSE RAYDAN,-,11,11,tabagismo
NOVA UNIAO,4,16,20,tabagismo
JUATUBA,4,17,21,tabagismo
JUIZ DE FORA,153,568,721,tabagismo
JURUAIA,2,15,17,tabagismo
JUVENILIA,1,1,2,tabagismo
LAGAMAR,8,27,35,tabagismo
LAGOA DA PRATA,18,43,61,tabagismo
LAGOA DOURADA,1,-,1,tabagismo
LAGOA FORMOSA,9,33,42,tabagismo
LAGOA GRANDE,-,5,5,tabagismo
LAGOA SANTA,5,16,21,tabagismo
LAMBARI,25,103,128,tabagismo
LARANJAL,2,5,7,tabagismo
LASSANCE,1,3,4,tabagismo
LAVRAS,26,50,76,tabagismo
LEANDRO FERREIRA,1,12,13,tabagismo
LEOPOLDINA,9,27,36,tabagismo
LIMA DUARTE,14,17,31,tabagismo
LIMEIRA DO OESTE,2,3,5,tabagismo
LONTRA,-,1,1,tabagismo
LUISBURGO,4,11,15,tabagismo
LUZ,14,27,41,tabagismo
MACHADO,32,159,191,tabagismo
MADRE DE DEUS DE MINAS,3,12,15,tabagismo
MANGA,2,11,13,tabagismo
MANHUACU,7,37,44,tabagismo
MANHUMIRIM,9,44,53,tabagismo
MANTENA,7,41,48,tabagismo
MARAVILHAS,-,8,8,tabagismo
MAR DE ESPANHA,-,19,19,tabagismo
MARIA DA FE,28,64,92,tabagismo
MARIANA,10,74,84,tabagismo
MARIPA DE MINAS,-,1,1,tabagismo
MARLIERIA,3,11,14,tabagismo
MARMELOPOLIS,8,28,36,tabagismo
MARTINHO CAMPOS,6,47,53,tabagismo
MATERLANDIA,1,4,5,tabagismo
MATEUS LEME,23,103,126,tabagismo
MATIAS BARBOSA,8,27,35,tabagismo
MATIAS CARDOSO,5,3,8,tabagismo
MATO VERDE,2,3,5,tabagismo
MATOZINHOS,1,6,7,tabagismo
MATUTINA,2,1,3,tabagismo
MEDEIROS,1,1,2,tabagismo
MEDINA,-,9,9,tabagismo
MENDES PIMENTEL,3,2,5,tabagismo
MERCES,7,15,22,tabagismo
MESQUITA,1,3,4,tabagismo
MINAS NOVAS,2,13,15,tabagismo
MINDURI,3,12,15,tabagismo
MIRABELA,3,6,9,tabagismo
MIRADOURO,2,4,6,tabagismo
MIRAI,4,21,25,tabagismo
MIRAVANIA,-,1,1,tabagismo
MOEDA,9,29,38,tabagismo
MOEMA,-,9,9,tabagismo
MONJOLOS,1,5,6,tabagismo
MONTE ALEGRE DE MINAS,8,27,35,tabagismo
MONTE AZUL,1,33,34,tabagismo
MONTE BELO,6,31,37,tabagismo
MONTE CARMELO,43,130,173,tabagismo
MONTE SANTO DE MINAS,26,70,96,tabagismo
MONTES CLAROS,89,405,494,tabagismo
MONTE SIAO,27,97,124,tabagismo
MONTEZUMA,-,1,1,tabagismo
MORADA NOVA DE MINAS,8,37,45,tabagismo
MORRO DO PILAR,-,1,1,tabagismo
MUNHOZ,10,16,26,tabagismo
MURIAE,9,82,91,tabagismo
MUTUM,2,3,5,tabagismo
MUZAMBINHO,7,22,29,tabagismo
NACIP RAYDAN,1,10,11,tabagismo
NANUQUE,4,29,33,tabagismo
NAQUE,2,27,29,tabagismo
NATERCIA,5,8,13,tabagismo
NAZARENO,5,19,24,tabagismo
NEPOMUCENO,19,51,70,tabagismo
NINHEIRA,-,1,1,tabagismo
NOVA BELEM,-,5,5,tabagismo
NOVA ERA,3,5,8,tabagismo
NOVA LIMA,36,179,215,tabagismo
NOVA MODICA,-,3,3,tabagismo
NOVA PORTEIRINHA,-,3,3,tabagismo
NOVA RESENDE,12,25,37,tabagismo
NOVA SERRANA,38,144,182,tabagismo
